164, 0.002500 + 0.000000 I
165, 0.002500 + 0.000000 I
166, -0.007500 + -0.002736 I
167, 0.002500 + 0.000000 I
168, 0.002500 + 0.000000 I
169, 0.002500 + -0.000000 I
170, -0.007500 + -0.002401 I
171, 0.002500 + 0.000000 I
172, 0.002500 + -0.000000 I
173, 0.002500 + 0.000000 I
174, -0.007500 + -0.002071 I
175, 0.002500 + 0.000000 I
176, 0.002500 + -0.000000 I
177, 0.002500 + -0.000000 I
178, -0.007500 + -0.001745 I
179, 0.002500 + -0.000000 I
180, 0.002500 + -0.000000 I
181, 0.002500 + 0.000000 I
182, -0.007500 + -0.001423 I
183, 0.002500 + -0.000000 I
184, 0.002500 + 0.000000 I
185, 0.002500 + -0.000000 I
186, -0.007500 + -0.001104 I
187, 0.002500 + 0.000000 I
188, 0.002500 + -0.000000 I
189, 0.002500 + -0.000000 I
190, -0.007500 + -0.000787 I
191, 0.002500 + -0.000000 I
192, 0.002500 + -0.000000 I
193, 0.002500 + 0.000000 I
194, -0.007500 + -0.000472 I
195, 0.002500 + 0.000000 I
196, 0.002500 + 0.000000 I
197, 0.002500 + 0.000000 I
198, -0.007500 + -0.000157 I
199, 0.002500 + 0.000000 I
200, 0.002500 + -0.000000 I
201, 0.002500 + 0.000000 I
202, -0.007500 + 0.000157 I
203, 0.002500 + 0.000000 I
204, 0.002500 + 0.000000 I
205, 0.002500 + -0.000000 I
206, -0.007500 + 0.000472 I
207, 0.002500 + 0.000000 I
208, 0.002500 + 0.000000 I
209, 0.002500 + 0.000000 I
210, -0.007500 + 0.000787 I
211, 0.002500 + -0.000000 I
212, 0.002500 + -0.000000 I
213, 0.002500 + -0.000000 I
214, -0.007500 + 0.001104 I
215, 0.002500 + -0.000000 I
216, 0.002500 + -0.000000 I
217, 0.002500 + 0.000000 I
218, -0.007500 + 0.001423 I
219, 0.002500 + 0.000000 I
220, 0.002500 + 0.000000 I
221, 0.002500 + 0.000000 I
222, -0.007500 + 0.001745 I
223, 0.002500 + -0.000000 I
224, 0.002500 + 0.000000 I
225, 0.002500 + -0.000000 I
226, -0.007500 + 0.002071 I
227, 0.002500 + -0.000000 I
228, 0.002500 + 0.000000 I
229, 0.002500 + 0.000000 I
230, -0.007500 + 0.002401 I
231, 0.002500 + 0.000000 I
232, 0.002500 + 0.000000 I
233, 0.002500 + 0.000000 I
234, -0.007500 + 0.002736 I
235, 0.002500 + -0.000000 I
236, 0.002500 + 0.000000 I
237, 0.002500 + 0.000000 I
238, -0.007500 + 0.003076 I
239, 0.002500 + -0.000000 I
240, 0.002500 + 0.000000 I
241, 0.002500 + -0.000000 I
242, -0.007500 + 0.003424 I
243, 0.002500 + 0.000000 I
244, 0.002500 + 0.000000 I
245, 0.002500 + -0.000000 I
246, -0.007500 + 0.003779 I
247, 0.002500 + 0.000000 I
248, 0.002500 + 0.000000 I
249, 0.002500 + -0.000000 I
250, -0.007500 + 0.004142 I
251, 0.002500 + -0.000000 I
252, 0.002500 + -0.000000 I
253, 0.002500 + -0.000000 I
